created,updated,model_year_id,vehicle_model_id,brand_id,brand_name,vehicle_model_name,vehicle_model_generic_name,vehicle_model_aliases,year_launched,year,year_status,discontinuation_date,year_label,vehicle_category,vehicle_type,engine_types,transmission_types,facelift,facelift_description,major_changes,remarks,brochure_pdf,brochure_download_link,price_range,region_id,region_name,country_name,region_level_guidelines,region_level_guardrails,brand_logo_url,brand_website,parent_company,brand_level_guidelines,brand_level_guardrails,oem_id,oem_name,oem_brand_awareness,oem_country_of_origin,oem_wiki_description,feature_summary,competitor_vehicles
,,,,,Maruti Suzuki Arena,Alto K10,Alto K10,"New Alto K10, AltoK10, alto k10, k10, Maruti suzuki Alto k10, Maruti altok10",2010,2025,Active,,,Passenger vehicles,Hatchback,"Petrol, CNG","Manual, Automatic",No,,"Exterior Design Update;Infotainment Update, Safety feature uplift (expected), Minor feature updates",Entry small city car,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/3e6a537f-4d1a-444f-ab4e-eafe26e3666e-697afde7_Arena-Alto-K10-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/3e6a537f-4d1a-444f-ab4e-eafe26e3666e-697afde7_Arena-Alto-K10-Brochure.pdf,"min_price: 369900, max_price:544900",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,"The Maruti Suzuki Alto K10 is an entry-level hatchback designed for affordability, fuel efficiency, and ease of ownership. It is powered by a 1.0L K-Series petrol engine paired with manual and AMT transmission options, making it ideal for urban commuting. The compact size ensures easy maneuverability, while the cabin focuses on practicality with essential comfort and safety features.","Renault Kwid, Tata Tiago, Maruti S-Presso"
,,,,,Maruti Suzuki Arena,Brezza,Brezza,"NEW BREZZA,brezza, Maruti Suzuki Brezza, MAruti Brezza",2016,2025,Active,,,Passenger vehicles,SUV,"Petrol, CNG","Manual, Automatic",No,,Feature uplift 2023 (safety/infotainment),Compact urban SUV,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/7fc719be-9f41-474a-8eb9-1173a10e269d-697afed7_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/7fc719be-9f41-474a-8eb9-1173a10e269d-697afed7_Arena-Brezza-Brochure.pdf,"min_price: 825900, max_price:1301300",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,"The Maruti Suzuki Brezza is a compact SUV focused on comfort, reliability, and everyday usability. It is powered by a 1.5L petrol engine with mild-hybrid technology, paired with manual and automatic transmissions. The Brezza offers a spacious cabin, high ground clearance, modern infotainment features, and a strong safety package, making it suitable for both city and highway driving.","Hyundai Venue, Kia Sonet, Tata Nexon, Mahindra XUV 3XO"
,,,,,Maruti Suzuki Arena,Celerio,Celerio,"NEW CELERIO,celerio, maruti suzuki celerio, maruti celerio",2014,2025,Active,,,Passenger vehicles,Hatchback,"Petrol, CNG","Manual, Automatic",No,,Info/comfort updates,Fuel-efficient hatchback,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/b0681214-9831-4844-bdb6-b5872211de5c-697aff61_Arena-Celerio-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/b0681214-9831-4844-bdb6-b5872211de5c-697aff61_Arena-Celerio-Brochure.pdf,"min_price: 469900, max_price:672900",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,"The Maruti Suzuki Celerio is a compact hatchback emphasizing high fuel efficiency and ease of driving. It is powered by a 1.0L petrol engine with manual and AMT options. Lightweight construction, smooth drivability, and a practical interior layout make it well-suited for urban users and first-time buyers.","Hyundai Santro, Renault Kwid, Tata Tiago"
,,,,,Maruti Suzuki Arena,Dzire,Dzire,"DZIRE,dsire, maruti suzuki dzire, maruti dzire",2008,2023,Active,,,Passenger vehicles,Sedan,"Petrol, CNG","Manual, Automatic",No,,Comfort+pack updates,Compact family sedan,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/a8bbab51-d5ad-4d28-bbe5-571494725b10-697b000d_Suzuki-Swift-Dzire-2009-IN.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/a8bbab51-d5ad-4d28-bbe5-571494725b10-697b000d_Suzuki-Swift-Dzire-2009-IN.pdf,"min_price: 651000, max_price: 944000",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,,
,,,,,Maruti Suzuki Arena,Dzire,Dzire 2nd gen,"DZIRE,dsire, maruti suzuki dzire, maruti dzire",2012,2024,Active,,,Passenger vehicles,Sedan,"Petrol, CNG","Manual, Automatic",No,,,Compact family sedan,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/d7774e46-8f9e-4735-a0a3-273e1daea5e6-697b01e8_Arena-Dzire-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/d7774e46-8f9e-4735-a0a3-273e1daea5e6-697b01e8_Arena-Dzire-Brochure.pdf,"min_price: 651000, max_price: 944000",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,,
,,,,,Maruti Suzuki Arena,Dzire,Dzire 3rd gen,"DZIRE,dsire, maruti suzuki dzire, maruti dzire",2017,2025,Active,,,Passenger vehicles,Sedan,"Petrol, CNG","Manual, Automatic",No,,,Compact family sedan,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/eaa90318-eb5f-4b26-b16c-60532d12de8c-697b023d_Arena-Dzire-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/eaa90318-eb5f-4b26-b16c-60532d12de8c-697b023d_Arena-Dzire-Brochure.pdf,"min_price: 625600, max_price:931300",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,"The Maruti Suzuki Dzire is a compact sedan designed to deliver comfort, refinement, and fuel efficiency. It features a 1.2L petrol engine with manual and AMT transmission options. The Dzire offers a spacious rear seat, refined ride quality, and a balanced mix of comfort, safety, and practicality.","Honda Amaze, Hyundai Aura, Toyota Vios"
,,,,,Maruti Suzuki Arena,Eeco,Eeco,"EECO,eco,,eko,ekko,maruti suzuki eeco,maruti eeco",2010,2025,Active,,,Passenger vehicles,VAN,"Petrol, CNG",Manual,No,,Commercial/family van utility,Practical people mover,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/3ead408e-c10f-4c97-8473-1f8264416f1c-697b02ed_Suzuki-Eeco-2010-IN.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/3ead408e-c10f-4c97-8473-1f8264416f1c-697b02ed_Suzuki-Eeco-2010-IN.pdf,"min_price: 532000, max_price: 660000",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,,
,,,,,Maruti Suzuki Arena,Eeco,Eeco New Gen  ,"EECO,eco,,eko,ekko,maruti suzuki eeco,maruti eeco",2022,2025,Active,,,Passenger vehicles,VAN,"Petrol, CNG",Manual,No,,,Practical people mover,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/ba47621e-7d9f-4dc8-b5d3-43bd3e29c384-697b0357_Arena-Eeco-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/ba47621e-7d9f-4dc8-b5d3-43bd3e29c384-697b0357_Arena-Eeco-Brochure.pdf,"min_price: 520900, max_price:635800",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,"The Maruti Suzuki Eeco is a versatile multi-purpose vehicle focused on practicality and utility. Powered by a 1.2L petrol and CNG engine, it is available in multiple seating and cargo configurations. The Eeco is widely used for commercial and family purposes due to its low running costs and flexible interior layout.","Tata Winger, Renault Triber"
,,,,,Maruti Suzuki Arena,Ertiga,Ertiga,"maruti suzuki ertiga,ertiga,artiga, maruti ertiga",2012,2025,Active,,,Passenger vehicles,SUV,"Petrol, CNG","Manual, Automatic",No,,,Family MPV,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/13ca68fb-dbc5-4d2a-91ac-f4853da7fa90-697b03fd_Suzuki-Ertiga-2013-IN.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/13ca68fb-dbc5-4d2a-91ac-f4853da7fa90-697b03fd_Suzuki-Ertiga-2013-IN.pdf,"min_price: 869000, max_price: 1326000",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,,
,,,,,Maruti Suzuki Arena,Ertiga,Ertiga (2nd Gen),"NEW ERTIGA,maruti suzuki ertiga,ertiga,artiga, maruti ertiga",2018,2025,Active,,,Passenger vehicles,SUV,"Petrol, CNG","Manual, Automatic",No,,MPV family upgrades 2023,Family MPV,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/d1e61c14-04ab-4737-89ff-288bdc94214e-697b046c_Arena-Ertiga-Brochure_1.pdf,https://d24ohqpcwj3ww1.cloudfront.net/gryd_file_system/media/document/d1e61c14-04ab-4737-89ff-288bdc94214e-697b046c_Arena-Ertiga-Brochure_1.pdf,"min_price: 880000, max_price:1294100",,India,India,,,,,,,,,Suzuki Motor Corporation,,,,"The Maruti Suzuki Ertiga is a popular 7-seater MPV designed for family comfort and space efficiency. It is powered by a 1.5L petrol mild-hybrid engine with manual and automatic options. The Ertiga offers flexible seating, good ride comfort, and a practical interior suited for long-distance travel.","Toyota Innova Crysta, Toyota Innova Hycross, Kia Carens, Maruti Suzuki XL6, Toyota Rumion, Renault Triber"
